"x","y","value","cluster"
106.806237421206,-6.19115117509723,1588327601.01061,1
106.806490057393,-6.19047345525286,1209975567.57381,1
106.806490057393,-6.19045607782096,1439721545.30927,1
106.80660795428,-6.19000426459138,1478073739.09986,1
106.80660795428,-6.18998688715947,1212873536.51486,1
106.807837450389,-6.18880522178981,1468487987.62541,2
106.807854292801,-6.18882259922172,1221971515.69277,2
106.807854292801,-6.18880522178981,2067994144.41904,2
106.807854292801,-6.18878784435791,1222150807.12074,2
106.807871135214,-6.18882259922172,1478284292.59029,2
106.807871135214,-6.18880522178981,2504165545.19804,2
106.807871135214,-6.18878784435791,1483986422.53885,2
106.807887977626,-6.18882259922172,1186065294.53114,2
106.807887977626,-6.18880522178981,2036772294.01635,2
106.807887977626,-6.18878784435791,1253693703.13535,2
106.807904820039,-6.18880522178981,1333729979.2737,2
106.807989032101,-6.18878784435791,1186290297.63984,2
106.808106928988,-6.18887473151744,1237633000.87111,2
106.808174298638,-6.188770466926,1186086104.36017,2
106.808342722762,-6.18875308949409,1454067428.6454,2
106.808359565175,-6.18875308949409,1314651805.46812,2
106.808410092412,-6.18875308949409,1238044496.66083,2
106.808494304474,-6.18873571206219,1220847046.09274,2
106.808746940661,-6.18882259922172,1231140811.50632,2
106.808847995136,-6.18883997665363,1182965569.90886,2
106.808847995136,-6.18882259922172,2001906711.16226,2
106.808847995136,-6.18880522178981,1182965569.90886,2
106.808864837548,-6.18882259922172,1569651455.74211,2
106.808949049611,-6.18882259922172,1308199821.7192,2
106.808965892023,-6.18882259922172,1315632291.01298,2
106.80901641926,-6.18880522178981,1389067392.06,2
106.809033261673,-6.18880522178981,1702178995.74479,2
106.809050104085,-6.18880522178981,1901065721.48258,2
106.809066946498,-6.18880522178981,1456006444.78798,2
106.809066946498,-6.1859553229571,1447372890.61054,2
106.80908378891,-6.18880522178981,1277936483.47374,2
106.80908378891,-6.1859553229571,1231197900.59759,2
106.809100631323,-6.18880522178981,1608607915.29918,2
106.809117473735,-6.18880522178981,1762142950.41341,2
106.809134316148,-6.18880522178981,1864632857.07175,2
106.80915115856,-6.18882259922172,1368487415.22195,2
106.80915115856,-6.18880522178981,2315861264.61293,2
106.80915115856,-6.18878784435791,1368487430.30007,2
106.809168000972,-6.18882259922172,1335153888.70257,2
106.809168000972,-6.18880522178981,2259451668.10066,2
106.809168000972,-6.18878784435791,1335153894.41755,2
106.809184843385,-6.18880522178981,1685125854.13214,2
106.809235370622,-6.18880522178981,1244539430.42083,2
106.809235370622,-6.1859553229571,1710381454.48786,2
